Designator,Footprint,Quantity,Value,LCSC Part #
AE1,XCVR_NN02-220,1,NN02-220,
BT1,BatteryHolder_MPD_BH-18650-PC2,1,BH-18650-PC2,
"C1, C2",0603,2,1.7pF,
"C10, C12, C37",0805,3,10uF,C415703
"C11, C17, C20, C39, C7, C8, C9",0603,7,1uF,C307331
"C13, C14, C19, C38",0603,4,0.1uF,C307331
"C21, C22",0805,2,47uF,
"C23, C25",0603,2,4.7uF,
C24,0603,1,1nF,
"C26, C27, C5",0402,3,15pF,
"C28, C31",0603,2,1uF,
"C29, C30",0402,2,56pF,
"C3, C6",0603,2,47pF,C307331
"C32, C34, C36",0603,3,0.1uF,
"C33, C35",0603,2,15pF,
C4,0603,1,8.5pF,
"D10, D11, D5, D6, D9",0603,5,LED,
F1,1206,1,0805L110WR,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,
"J2, J4",U.FL_Hirose_U.FL-R-SMT-1_Vertical,2,Conn_Coaxial,
J3,693043020611,1,693043020611,
J5,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10_Pin,
J6,SEXY_pinpogo,1,JLINK,
L1,0603,1,2.3nH,
"L2, L7",0402,2,39NH,
L3,1008,1,2.2uH,
L4,0603,1,NP,
L5,0603,1,7.5NH,
L6,0603,1,1.6nH,
L8,0402,1, 68 nH ,
"Q1, Q2",SOIC-8_3.9x4.9mm_P1.27mm,2,FDS6892A,
R1,0603,1,68k,
"R10, R11, R17, R24, R25",0603,5,1M,
"R18, R19, R20",0603,3,100R,
"R2, R3",0603,2,499R,C25076
"R22, R23",0603,2,120R,
R26,0603,1,1k,
"R4, R5, R7, R8",0603,4,0R,C25076
R9,0603,1,<2k,
S1,TGS8410,1,TGS8410,
"SW1, SW3",SW_Push_1P1T_NO_CK_KMR2,2,KMR223GLFG,
SW2,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,1,JS202011JCQN,
TH1,0603,1,10k NTC,
U2,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,1,nPM1300-QEXX,
U4,SOT-23-5,1,AP7331-20WG-7,
U5,LGA_9160_16.0x10.5mm,1,nRF9160-SICA,
U6,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME680,
U7,QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,1,FT230XQ,
U8,SOT-23-6,1,USBLC6-4SC6,
U9,SOT-23-6,1,TPS22917DBV,
